SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
1443,amazon,2020-09-24,2977.790039,3069.300049,2965.0,3019.790039,21659.509,18963.167,7.9,0.09
1444,amazon,2020-09-25,3054.860107,3101.540039,2999.0,3095.129883,21659.509,18963.167,7.9,0.09
1445,amazon,2020-09-28,3148.850098,3175.040039,3117.169922,3174.050049,21659.509,18963.167,7.9,0.09
1446,amazon,2020-09-29,3175.389893,3188.26001,3132.540039,3144.879883,21659.509,18963.167,7.9,0.09
1447,amazon,2020-09-30,3141.139893,3212.879883,3133.98999,3148.72998,21659.509,18963.167,7.9,0.09
1448,amazon,2020-10-01,3208.0,3224.0,3172.0,3221.26001,21808.906,19065.896,6.9,0.09
1449,amazon,2020-10-02,3153.629883,3195.800049,3123.0,3125.0,21808.906,19065.896,6.9,0.09
1450,amazon,2020-10-05,3145.840088,3202.530029,3140.850098,3199.199951,21808.906,19065.896,6.9,0.09
1451,amazon,2020-10-06,3165.0,3182.0,3090.0,3099.959961,21808.906,19065.896,6.9,0.09
1452,amazon,2020-10-07,3135.0,3200.0,3132.389893,3195.689941,21808.906,19065.896,6.9,0.09
1453,amazon,2020-10-08,3224.98999,3233.290039,3174.98999,3190.550049,21808.906,19065.896,6.9,0.09
1454,amazon,2020-10-09,3210.0,3288.98999,3197.830078,3286.649902,21808.906,19065.896,6.9,0.09
1455,amazon,2020-10-12,3349.939941,3496.23999,3339.550049,3442.929932,21808.906,19065.896,6.9,0.09
1456,amazon,2020-10-13,3467.98999,3492.379883,3424.219971,3443.629883,21808.906,19065.896,6.9,0.09
1457,amazon,2020-10-14,3447.0,3464.879883,3340.0,3363.709961,21808.906,19065.896,6.9,0.09
1458,amazon,2020-10-15,3292.01001,3355.879883,3280.0,3338.649902,21808.906,19065.896,6.9,0.09
1459,amazon,2020-10-16,3363.22998,3399.659912,3160.0,3272.709961,21808.906,19065.896,6.9,0.09
1460,amazon,2020-10-19,3299.610107,3329.0,3192.73999,3207.209961,21808.906,19065.896,6.9,0.09
1461,amazon,2020-10-20,3222.280029,3266.0,3192.01001,3217.01001,21808.906,19065.896,6.9,0.09
1462,amazon,2020-10-21,3212.5,3233.879883,3160.0,3184.939941,21808.906,19065.896,6.9,0.09
1463,amazon,2020-10-22,3189.870117,3198.75,3121.939941,3176.399902,21808.906,19065.896,6.9,0.09
1464,amazon,2020-10-23,3191.0,3205.330078,3140.0,3204.399902,21808.906,19065.896,6.9,0.09
1465,amazon,2020-10-26,3198.73999,3282.97998,3153.300049,3207.040039,21808.906,19065.896,6.9,0.09
1466,amazon,2020-10-27,3224.939941,3291.659912,3211.300049,3286.330078,21808.906,19065.896,6.9,0.09
1467,amazon,2020-10-28,3249.300049,3264.02002,3162.469971,3162.780029,21808.906,19065.896,6.9,0.09
1468,amazon,2020-10-29,3201.27002,3257.25,3164.0,3211.01001,21808.906,19065.896,6.9,0.09
1469,amazon,2020-10-30,3157.75,3167.0,3019.0,3036.149902,21808.906,19065.896,6.9,0.09
1470,amazon,2020-11-02,3061.73999,3079.709961,2950.120117,3004.47998,21589.849,18845.337,6.7,0.09
1471,amazon,2020-11-03,3018.530029,3074.899902,2980.97998,3048.409912,21589.849,18845.337,6.7,0.09
1472,amazon,2020-11-04,3159.98999,3244.850098,3139.72998,3241.159912,21589.849,18845.337,6.7,0.09
1473,amazon,2020-11-05,3319.969971,3366.800049,3288.879883,3322.0,21589.849,18845.337,6.7,0.09
1474,amazon,2020-11-06,3304.639893,3322.0,3232.0,3311.370117,21589.849,18845.337,6.7,0.09
1475,amazon,2020-11-09,3231.030029,3289.0,3112.110107,3143.73999,21589.849,18845.337,6.7,0.09
1476,amazon,2020-11-10,3095.02002,3114.0,3019.47998,3035.02002,21589.849,18845.337,6.7,0.09
1477,amazon,2020-11-11,3061.780029,3139.149902,3050.0,3137.389893,21589.849,18845.337,6.7,0.09
1478,amazon,2020-11-12,3159.949951,3175.879883,3086.050049,3110.280029,21589.849,18845.337,6.7,0.09
1479,amazon,2020-11-13,3122.0,3141.719971,3085.389893,3128.810059,21589.849,18845.337,6.7,0.09
1480,amazon,2020-11-16,3093.199951,3142.699951,3072.689941,3131.060059,21589.849,18845.337,6.7,0.09
1481,amazon,2020-11-17,3183.540039,3189.25,3135.26001,3135.659912,21589.849,18845.337,6.7,0.09
1482,amazon,2020-11-18,3134.0,3140.0,3105.100098,3105.459961,21589.849,18845.337,6.7,0.09
1483,amazon,2020-11-19,3105.310059,3125.0,3080.919922,3117.02002,21589.849,18845.337,6.7,0.09
1484,amazon,2020-11-20,3117.02002,3132.889893,3098.050049,3099.399902,21589.849,18845.337,6.7,0.09
